feature,coefficient,abs_coef
rebar_turkey_fob_lag5,3.3128457866352217,3.3128457866352217
rebar_iron_spread,3.1580399774045564,3.1580399774045564
rebar_turkey_fob_lag20,2.445741573584803,2.445741573584803
rebar_turkey_fob_ma5,1.9569350858631753,1.9569350858631753
iron_ore_62fe_lag5,1.7086155335385589,1.7086155335385589
scrap_hms12_turkey_lag5,1.6857237624949781,1.6857237624949781
rebar_turkey_fob_momentum20,1.5686947491401533,1.5686947491401533
billet_rebar_ratio,-1.5436707773817437,1.5436707773817437
rebar_scrap_spread,1.5115669794883972,1.5115669794883972
rebar_turkey_fob_ma20,1.277695496026105,1.277695496026105
rebar_turkey_fob_ma30,1.2445818507508477,1.2445818507508477
scrap_hms12_turkey_ma5,1.2304977813689308,1.2304977813689308
iron_ore_62fe_lag20,1.0092471419052365,1.0092471419052365
scrap_hms12_turkey_lag10,-0.8885093423585524,0.8885093423585524
scrap_hms12_turkey_lag20,0.8583221539604747,0.8583221539604747
rebar_turkey_fob_momentum5,0.8268957315292086,0.8268957315292086
scrap_hms12_turkey_momentum20,0.7968356135991038,0.7968356135991038
iron_ore_62fe_momentum20,0.7661163048792973,0.7661163048792973
billet_gcc_cfr_ma5,0.7222729629537128,0.7222729629537128
rebar_turkey_fob_lag1,0.7164675957428361,0.7164675957428361
iron_ore_62fe_lag10,-0.689199602020703,0.689199602020703
scrap_hms12_turkey_momentum5,0.653117685844767,0.653117685844767
billet_saudi_exworks_lag5,0.6048465810790213,0.6048465810790213
billet_saudi_exworks_lag30,0.5694106274545624,0.5694106274545624
iron_ore_62fe_momentum5,0.5636829502873281,0.5636829502873281
billet_gcc_cfr_ma30,-0.5579966077513228,0.5579966077513228
scrap_hms12_turkey_lag1,0.5524799028954316,0.5524799028954316
billet_gcc_cfr_ma20,-0.5375364887568265,0.5375364887568265
coking_coal_australia_lag10,0.5359752923592999,0.5359752923592999
billet_gcc_cfr_lag30,-0.4241782256044589,0.4241782256044589
coke_rizhao_china_ma5,0.39151432581512036,0.39151432581512036
rebar_turkey_fob_lag10,0.3852939246411742,0.3852939246411742
billet_saudi_exworks_momentum20,0.3801525033474551,0.3801525033474551
coke_rizhao_china_ma20,0.3788533797721289,0.3788533797721289
billet_gcc_cfr_lag10,-0.3550337086885205,0.3550337086885205
iron_ore_62fe_lag30,0.33397627751472964,0.33397627751472964
billet_saudi_exworks_lag20,0.30903285250124124,0.30903285250124124
coking_coal_australia_lag30,-0.29531920704847503,0.29531920704847503
scrap_hms12_turkey_lag30,0.28499131596315436,0.28499131596315436
coke_lvliang_china_lag30,0.2808777597635818,0.2808777597635818
coking_coal_australia_lag5,-0.2721481037550426,0.2721481037550426
coke_rizhao_china_lag1,0.2583587638842108,0.2583587638842108
billet_cis_fob_momentum20,-0.2339292276910896,0.2339292276910896
coke_rizhao_china_ma30,0.23069386269247555,0.23069386269247555
billet_saudi_exworks_momentum5,0.21230204604156994,0.21230204604156994
